trial_key,method,feature,target_class,beta,mask_weight,seed,original_weight,flipped_weight,calibration_clean_accuracy,calibration_flipped_accuracy,calibration_bad,original_bits,flipped_bits,bit_hamming_distance,clean_model_accuracy,backdoor_clean_accuracy,bad,trigger_only_asr,bit_only_asr,trigger_plus_bit_asr,bit_marginal_gain,mask_l1,ssim,loss_version,clean_margin,attack_margin,validation_trigger_only_asr,validation_combined_asr,validation_bit_only_asr,validation_bad,validation_clean_target_margin,validation_flipped_target_margin,validation_counterfactual_gain,qualifies,validation_qualifies
causal_target_6_feature_120_beta_2_lambda_0.001_seed_20260904,causal,120,6,2.0,0.001,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0004,0.1089,0.9976,0.9972000000000001,509.2331237792969,0.30235575709342954,causal-margin-v2,1.0,0.5,0.0,0.99609375,0.1328125,0.0,-3.148674488067627,1.7428643703460693,4.891538619995117,True,True
causal_target_6_feature_120_beta_2_lambda_0.001_seed_20260905,causal,120,6,2.0,0.001,20260905,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0,0.1089,0.9818,0.9818,552.7988891601562,0.3087389801502228,causal-margin-v2,1.0,0.5,0.0,0.984375,0.1328125,0.0,-2.618316650390625,1.2098021507263184,3.8281190395355225,True,True
causal_target_6_feature_120_beta_2_lambda_0.001_seed_20260906,causal,120,6,2.0,0.001,20260906,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0001,0.1089,0.9949,0.9948,559.65869140625,0.27864572863578796,causal-margin-v2,1.0,0.5,0.0,0.99609375,0.1328125,0.0,-2.928220510482788,1.673384189605713,4.60160493850708,True,True
causal_target_6_feature_33_beta_2_lambda_0.001_seed_20260904,causal,33,6,2.0,0.001,20260904,0.12096419185400009,1.9354270696640015,0.8463541865348816,0.8463541865348816,0.0,00111101111101111011110000010011,00111111111101111011110000010011,1,0.8642,0.8631,0.0010999999999999899,0.0,0.1119,0.9895,0.9895,601.2412719726562,0.20128203282356263,causal-margin-v2,1.0,0.5,0.0,0.98828125,0.14453125,-0.00390625,-2.593919515609741,1.2647837400436401,3.858703136444092,False,True
causal_target_6_feature_33_beta_2_lambda_0.001_seed_20260905,causal,33,6,2.0,0.001,20260905,0.12096419185400009,1.9354270696640015,0.8463541865348816,0.8463541865348816,0.0,00111101111101111011110000010011,00111111111101111011110000010011,1,0.8642,0.8631,0.0010999999999999899,0.0007,0.1119,0.908,0.9073,569.19384765625,0.2812993338108063,causal-margin-v2,1.0,0.5,0.0,0.91015625,0.14453125,-0.00390625,-2.3177385330200195,0.8120236396789551,3.1297621726989746,False,True
causal_target_6_feature_33_beta_2_lambda_0.001_seed_20260906,causal,33,6,2.0,0.001,20260906,0.12096419185400009,1.9354270696640015,0.8463541865348816,0.8463541865348816,0.0,00111101111101111011110000010011,00111111111101111011110000010011,1,0.8642,0.8631,0.0010999999999999899,0.0014,0.1119,0.9624,0.9610000000000001,570.22900390625,0.2692582589626312,causal-margin-v2,1.0,0.5,0.0,0.953125,0.14453125,-0.00390625,-2.5946121215820312,1.0899877548217773,3.6845998764038086,False,True
causal_target_6_feature_40_beta_2_lambda_0.001_seed_20260904,causal,40,6,2.0,0.001,20260904,0.00754559226334095,1.9316716194152832,0.8463541865348816,0.8463541865348816,0.0,00111011111101110100000100000100,00111111111101110100000100000100,1,0.8642,0.8641,9.999999999998899e-05,0.0027,0.1092,0.5811,0.5783999999999999,539.2988891601562,0.26427695569992066,causal-margin-v2,1.0,0.5,0.0,0.546875,0.140625,-0.00390625,-1.9121240377426147,0.0816776305437088,1.9938017129898071,False,False
causal_target_6_feature_40_beta_2_lambda_0.001_seed_20260905,causal,40,6,2.0,0.001,20260905,0.00754559226334095,1.9316716194152832,0.8463541865348816,0.8463541865348816,0.0,00111011111101110100000100000100,00111111111101110100000100000100,1,0.8642,0.8641,9.999999999998899e-05,0.0048,0.1092,0.4598,0.45499999999999996,539.2826538085938,0.3123855958938599,causal-margin-v2,1.0,0.5,0.015625,0.41796875,0.140625,-0.00390625,-1.8784793615341187,-0.07645400613546371,1.802025318145752,False,False
causal_target_6_feature_40_beta_2_lambda_0.001_seed_20260906,causal,40,6,2.0,0.001,20260906,0.00754559226334095,1.9316716194152832,0.8463541865348816,0.8463541865348816,0.0,00111011111101110100000100000100,00111111111101110100000100000100,1,0.8642,0.8641,9.999999999998899e-05,0.003,0.1092,0.4162,0.4132,577.4295654296875,0.2722947100162506,causal-margin-v2,1.0,0.5,0.0078125,0.43359375,0.140625,-0.00390625,-1.7867311239242554,-0.05645451694726944,1.7302767038345337,False,False
causal_target_6_feature_482_beta_2_lambda_0.001_seed_20260904,causal,482,6,2.0,0.001,20260904,0.11922784149646759,1.9076454639434814,0.8463541865348816,0.8463541865348816,0.0,00111101111101000010110110111010,00111111111101000010110110111010,1,0.8642,0.8635,0.0006999999999999229,0.0009,0.1101,0.9525,0.9516,568.4334106445312,0.24741030602455139,causal-margin-v2,1.0,0.5,0.0,0.953125,0.14453125,-0.00390625,-2.3782684803009033,1.054444670677185,3.432713031768799,True,True
causal_target_6_feature_482_beta_2_lambda_0.001_seed_20260905,causal,482,6,2.0,0.001,20260905,0.11922784149646759,1.9076454639434814,0.8463541865348816,0.8463541865348816,0.0,00111101111101000010110110111010,00111111111101000010110110111010,1,0.8642,0.8635,0.0006999999999999229,0.0011,0.1101,0.9817,0.9806,608.89013671875,0.2500736968040466,causal-margin-v2,1.0,0.5,0.00390625,0.9921875,0.14453125,-0.00390625,-2.7308120727539062,1.4299161434173584,4.1607279777526855,True,True
causal_target_6_feature_482_beta_2_lambda_0.001_seed_20260906,causal,482,6,2.0,0.001,20260906,0.11922784149646759,1.9076454639434814,0.8463541865348816,0.8463541865348816,0.0,00111101111101000010110110111010,00111111111101000010110110111010,1,0.8642,0.8635,0.0006999999999999229,0.0002,0.1101,0.9855,0.9853000000000001,587.4317016601562,0.2523203233718872,causal-margin-v2,1.0,0.5,0.0,0.99609375,0.14453125,-0.00390625,-2.575589179992676,1.3189324140548706,3.894521474838257,True,True
causal_target_6_feature_28_beta_2_lambda_0.001_seed_20260904,causal,28,6,2.0,0.001,20260904,0.007444762624800205,1.9058592319488525,0.8463541865348816,0.8463541865348816,0.0,00111011111100111111001100110010,00111111111100111111001100110010,1,0.8642,0.8646,-0.00040000000000006697,0.0088,0.1069,0.5797,0.5709,518.5344848632812,0.3102295982837677,causal-margin-v2,1.0,0.5,0.01953125,0.60546875,0.1328125,0.0,-1.9034700393676758,0.12350167334079742,2.0269718170166016,False,False
causal_target_6_feature_28_beta_2_lambda_0.001_seed_20260905,causal,28,6,2.0,0.001,20260905,0.007444762624800205,1.9058592319488525,0.8463541865348816,0.8463541865348816,0.0,00111011111100111111001100110010,00111111111100111111001100110010,1,0.8642,0.8646,-0.00040000000000006697,0.0018,0.1069,0.5519,0.5500999999999999,527.5851440429688,0.3313882020950317,causal-margin-v2,1.0,0.5,0.0,0.54296875,0.1328125,0.0,-1.850153923034668,0.07148314267396927,1.9216370582580566,False,False
causal_target_6_feature_28_beta_2_lambda_0.001_seed_20260906,causal,28,6,2.0,0.001,20260906,0.007444762624800205,1.9058592319488525,0.8463541865348816,0.8463541865348816,0.0,00111011111100111111001100110010,00111111111100111111001100110010,1,0.8642,0.8646,-0.00040000000000006697,0.0043,0.1069,0.5846,0.5803,525.1383666992188,0.33259121713638307,causal-margin-v2,1.0,0.5,0.0,0.62109375,0.1328125,0.0,-1.874442219734192,0.11123395711183548,1.9856760501861572,False,False
causal_target_6_feature_381_beta_2_lambda_0.001_seed_20260904,causal,381,6,2.0,0.001,20260904,2.8909371394547634e-05,1.8946045637130737,0.8463541865348816,0.8463541865348816,0.0,00110111111100101000001001100111,00111111111100101000001001100111,1,0.8642,0.8645,-0.000300000000000078,0.0001,0.1066,0.256,0.2559,624.5641479492188,0.21484998831748964,causal-margin-v2,1.0,0.5,0.0,0.296875,0.1328125,0.0,-1.7249319553375244,-0.2052139937877655,1.5197179317474365,False,False
causal_target_6_feature_381_beta_2_lambda_0.001_seed_20260905,causal,381,6,2.0,0.001,20260905,2.8909371394547634e-05,1.8946045637130737,0.8463541865348816,0.8463541865348816,0.0,00110111111100101000001001100111,00111111111100101000001001100111,1,0.8642,0.8645,-0.000300000000000078,0.0003,0.1066,0.2956,0.29529999999999995,610.073486328125,0.2348675420999527,causal-margin-v2,1.0,0.5,0.0,0.25,0.1328125,0.0,-1.8066060543060303,-0.2609228789806366,1.5456831455230713,False,False
causal_target_6_feature_381_beta_2_lambda_0.001_seed_20260906,causal,381,6,2.0,0.001,20260906,2.8909371394547634e-05,1.8946045637130737,0.8463541865348816,0.8463541865348816,0.0,00110111111100101000001001100111,00111111111100101000001001100111,1,0.8642,0.8645,-0.000300000000000078,0.0004,0.1066,0.3371,0.3367,599.1664428710938,0.24583567900657655,causal-margin-v2,1.0,0.5,0.0,0.38671875,0.1328125,0.0,-1.6788959503173828,-0.10992597788572311,1.5689697265625,False,False
