trial_key,method,feature,target_class,beta,mask_weight,seed,original_weight,flipped_weight,calibration_clean_accuracy,calibration_flipped_accuracy,calibration_bad,original_bits,flipped_bits,bit_hamming_distance,clean_model_accuracy,backdoor_clean_accuracy,bad,trigger_only_asr,bit_only_asr,trigger_plus_bit_asr,bit_marginal_gain,mask_l1,ssim,loss_version,clean_margin,attack_margin,validation_trigger_only_asr,validation_combined_asr,validation_bit_only_asr,validation_bad,validation_clean_target_margin,validation_flipped_target_margin,validation_counterfactual_gain,qualifies,validation_qualifies
causal_target_6_feature_120_beta_2_lambda_0.001_seed_20260904,causal,120,6,2.0,0.001,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0024,0.1089,0.8982,0.8958,533.7159423828125,0.3685406822681427,causal-margin-v2,1.0,0.5,0.0,0.85546875,0.1328125,0.0,-2.572328805923462,0.8279582858085632,3.40028715133667,False,False
causal_target_6_feature_120_beta_2_lambda_0.002_seed_20260904,causal,120,6,2.0,0.002,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0094,0.1089,0.8082,0.7988000000000001,434.5870666503906,0.45626698212623595,causal-margin-v2,1.0,0.5,0.0,0.76953125,0.1328125,0.0,-2.4714086055755615,0.6102386116981506,3.0816473960876465,False,False
causal_target_6_feature_120_beta_2_lambda_0.005_seed_20260904,causal,120,6,2.0,0.005,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0382,0.1089,0.6407,0.6025,336.81463623046875,0.5636892283439636,causal-margin-v2,1.0,0.5,0.03125,0.625,0.1328125,0.0,-2.183030605316162,0.29237449169158936,2.475405216217041,False,False
causal_target_6_feature_120_beta_4_lambda_0.001_seed_20260904,causal,120,6,4.0,0.001,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0004,0.1089,0.7361,0.7357,559.0235595703125,0.3443256721019745,causal-margin-v2,1.0,0.5,0.0,0.7265625,0.1328125,0.0,-3.065609931945801,0.32735371589660645,3.392963409423828,False,False
causal_target_6_feature_120_beta_4_lambda_0.002_seed_20260904,causal,120,6,4.0,0.002,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0009,0.1089,0.6446,0.6436999999999999,485.7828369140625,0.4071463755607605,causal-margin-v2,1.0,0.5,0.0,0.6015625,0.1328125,0.0,-3.0616490840911865,0.17893610894680023,3.2405850887298584,False,False
causal_target_6_feature_120_beta_4_lambda_0.005_seed_20260904,causal,120,6,4.0,0.005,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0089,0.1089,0.4502,0.44129999999999997,360.3353576660156,0.5280462037086486,causal-margin-v2,1.0,0.5,0.0078125,0.46484375,0.1328125,0.0,-2.886363983154297,-0.18050932884216309,2.705854654312134,False,False
causal_target_6_feature_120_beta_8_lambda_0.001_seed_20260904,causal,120,6,8.0,0.001,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0001,0.1089,0.2367,0.2366,559.2193603515625,0.3556791515827179,causal-margin-v2,1.0,0.5,0.0,0.1953125,0.1328125,0.0,-3.464426040649414,-0.5439916849136353,2.9204344749450684,False,False
causal_target_6_feature_120_beta_8_lambda_0.002_seed_20260904,causal,120,6,8.0,0.002,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0003,0.1089,0.2249,0.2246,513.4324951171875,0.3959191218852997,causal-margin-v2,1.0,0.5,0.0,0.1796875,0.1328125,0.0,-3.431915521621704,-0.6127446889877319,2.8191709518432617,False,False
causal_target_6_feature_120_beta_8_lambda_0.005_seed_20260904,causal,120,6,8.0,0.005,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0027,0.1089,0.1936,0.1909,398.6829833984375,0.5010060948371887,causal-margin-v2,1.0,0.5,0.0,0.18359375,0.1328125,0.0,-3.3952207565307617,-0.8513063788414001,2.543914318084717,False,False
causal_target_6_feature_120_beta_16_lambda_0.001_seed_20260904,causal,120,6,16.0,0.001,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0015,0.1089,0.0056,0.0040999999999999995,502.67486572265625,0.44564007835388186,causal-margin-v2,1.0,0.5,0.0,0.0078125,0.1328125,0.0,-4.279293060302734,-3.382859706878662,0.8964335918426514,False,False
