method,beta,mask_weight,trials,qualified,qualification_rate,target_class,trigger_only_asr_mean,trigger_only_asr_std,trigger_only_asr_ci95_low,trigger_only_asr_ci95_high,bit_only_asr_mean,bit_only_asr_std,bit_only_asr_ci95_low,bit_only_asr_ci95_high,trigger_plus_bit_asr_mean,trigger_plus_bit_asr_std,trigger_plus_bit_asr_ci95_low,trigger_plus_bit_asr_ci95_high,bit_marginal_gain_mean,bit_marginal_gain_std,bit_marginal_gain_ci95_low,bit_marginal_gain_ci95_high,bad_mean,bad_std,bad_ci95_low,bad_ci95_high,mask_l1_mean,mask_l1_std,mask_l1_ci95_low,mask_l1_ci95_high,ssim_mean,ssim_std,ssim_ci95_low,ssim_ci95_high
causal,2.0,0.001,12,1,0.08333333333333333,6,0.021225,0.016561682226809513,0.012783333333333329,0.030424999999999997,0.10935,0.0017069377152187971,0.10838333333333333,0.11019166666666669,0.6780083333333333,0.21480351046028232,0.5596083333333333,0.78015,0.6567833333333334,0.22347403279426747,0.5322333333333333,0.7644583333333334,0.0003083333333332901,0.0005517877281796912,-8.333333333378675e-06,0.0005999999999999617,520.5763422648112,19.11778324886727,510.19195556640625,530.6146545410156,0.38206471894979477,0.02823148472365077,0.36842529878616337,0.3979823991616567
causal,2.0,0.002,12,0,0.0,6,0.05155,0.023215531634897122,0.038816666666666666,0.06375000000000001,0.10935,0.0017069377152187971,0.10838333333333333,0.11019166666666669,0.5949,0.18660393642929696,0.49237499999999984,0.6866583333333334,0.54335,0.20243444056600826,0.43163333333333337,0.6446916666666667,0.0003083333333332901,0.0005517877281796912,-8.333333333378675e-06,0.0005999999999999617,418.69621022542316,29.837330863854845,402.6357065836589,433.6464589436849,0.4765036056677501,0.02194411403500456,0.46461038034756985,0.4881828157742818
causal,2.0,0.005,12,0,0.0,6,0.11573333333333334,0.02665821835870893,0.10202499999999999,0.1304833333333333,0.10935,0.0017069377152187971,0.10838333333333333,0.11019166666666669,0.481375,0.12119322757106071,0.41684999999999994,0.5436916666666666,0.3656416666666667,0.14070650600925794,0.289375,0.43942499999999995,0.0003083333333332901,0.0005517877281796912,-8.333333333378675e-06,0.0005999999999999617,283.2557856241862,65.18739607214988,248.53223292032877,315.7274678548177,0.601881836048762,0.040180175926158114,0.5820543237845105,0.6227086980422338
causal,4.0,0.001,12,0,0.0,6,0.004391666666666666,0.0033565291416562852,0.002625,0.006291666666666667,0.10935,0.0017069377152187971,0.10838333333333333,0.11019166666666669,0.3681833333333333,0.2599366805181367,0.22782499999999997,0.5066083333333332,0.3637916666666667,0.2619845500591532,0.22284166666666663,0.5038916666666667,0.0003083333333332901,0.0005517877281796912,-8.333333333378675e-06,0.0005999999999999617,542.5638376871744,18.1800020659984,532.8176320393881,552.4139149983724,0.3751799231767654,0.03199570216887855,0.3587311530947685,0.3935436853686969
causal,4.0,0.002,12,0,0.0,6,0.010416666666666666,0.005633476777804326,0.007474999999999999,0.013650000000000002,0.10935,0.0017069377152187971,0.10838333333333333,0.11019166666666669,0.31349166666666667,0.2117813815249255,0.19996666666666665,0.42720833333333336,0.303075,0.21338093177567333,0.18865833333333334,0.41709166666666664,0.0003083333333332901,0.0005517877281796912,-8.333333333378675e-06,0.0005999999999999617,460.09302520751953,14.738170425909585,452.1889394124349,468.67835998535156,0.4495867231289546,0.026437948266790384,0.43587987883090973,0.46351906221310296
causal,4.0,0.005,12,0,0.0,6,0.036283333333333334,0.008667057100762564,0.031966666666666664,0.04106666666666666,0.10935,0.0017069377152187971,0.10838333333333333,0.11019166666666669,0.24987499999999999,0.1378757683568799,0.1790666666666667,0.3257666666666667,0.21359166666666665,0.1399492340317038,0.14186666666666667,0.29078333333333334,0.0003083333333332901,0.0005517877281796912,-8.333333333378675e-06,0.0005999999999999617,329.1400858561198,39.793460966520485,307.3340250651042,350.0059356689453,0.5752844474713008,0.02726949998461009,0.5622218636512756,0.5923863840341568
causal,8.0,0.001,12,0,0.0,6,0.0014166666666666668,0.000943719270019459,0.0009333333333333333,0.0019500000000000003,0.10935,0.0017069377152187971,0.10838333333333333,0.11019166666666669,0.09180833333333334,0.13000119201085206,0.036125,0.16860833333333336,0.09039166666666666,0.13029199695183494,0.034616666666666664,0.16744166666666668,0.0003083333333332901,0.0005517877281796912,-8.333333333378675e-06,0.0005999999999999617,533.9288991292318,17.704507945558117,524.0606842041016,543.0660858154297,0.4000649201711019,0.030962891341141704,0.3836711490829785,0.41699488014777497
causal,8.0,0.002,12,0,0.0,6,0.003758333333333333,0.002637994532123816,0.0024916666666666668,0.0053,0.10935,0.0017069377152187971,0.10838333333333333,0.11019166666666669,0.089625,0.11328784838149718,0.041133333333333334,0.15728333333333336,0.08586666666666667,0.11403358622738648,0.036658333333333334,0.15394166666666664,0.0003083333333332901,0.0005517877281796912,-8.333333333378675e-06,0.0005999999999999617,487.35416920979816,17.685808993406557,477.5049336751302,495.46788787841797,0.4440593075235685,0.026870906711377488,0.4307741567571957,0.4587592773040136
causal,8.0,0.005,12,0,0.0,6,0.010291666666666668,0.004334315156837108,0.008266666666666669,0.012924999999999999,0.10935,0.0017069377152187971,0.10838333333333333,0.11019166666666669,0.09198333333333333,0.07922680714061983,0.05463333333333332,0.13893333333333333,0.08169166666666668,0.07909236784617814,0.045425000000000014,0.12823333333333337,0.0003083333333332901,0.0005517877281796912,-8.333333333378675e-06,0.0005999999999999617,370.13018290201825,36.00447378271418,354.94175974527997,393.04405721028644,0.5493255083839099,0.02755090360707233,0.5337932165424029,0.5628380774021149
causal,16.0,0.001,12,0,0.0,6,0.0005416666666666666,0.0004888917584856095,0.00030833333333333337,0.0008249999999999999,0.10935,0.0017069377152187971,0.10838333333333333,0.11019166666666669,0.013458333333333334,0.022086584094642092,0.004416666666666667,0.026866666666666667,0.012916666666666667,0.02218016449374749,0.003841666666666667,0.026225000000000002,0.0003083333333332901,0.0005517877281796912,-8.333333333378675e-06,0.0005999999999999617,517.0203094482422,16.17179930508353,508.80535380045575,525.2679316202799,0.4276522723396619,0.029353753788859568,0.4125260453542074,0.44295779393116635
causal,16.0,0.002,12,0,0.0,6,0.0009666666666666667,0.0005757735244999995,0.0006583333333333333,0.0012833333333333336,0.10935,0.0017069377152187971,0.10838333333333333,0.11019166666666669,0.014808333333333333,0.02215090633620104,0.005333333333333333,0.027924999999999995,0.013841666666666665,0.022302566437452206,0.004416666666666667,0.027091666666666663,0.0003083333333332901,0.0005517877281796912,-8.333333333378675e-06,0.0005999999999999617,496.264653523763,6.864788609253395,492.8451436360677,500.0203857421875,0.446885103503863,0.019054922589026697,0.4356674158374469,0.4568085826357206
causal,16.0,0.005,12,0,0.0,6,0.0020166666666666666,0.0007661394761854378,0.0015833333333333333,0.002408333333333333,0.10935,0.0017069377152187971,0.10838333333333333,0.11019166666666669,0.0169,0.018982527851589305,0.008666666666666665,0.027899999999999998,0.014883333333333333,0.019054984236215582,0.0067916666666666655,0.026,0.0003083333333332901,0.0005517877281796912,-8.333333333378675e-06,0.0005999999999999617,425.6913833618164,29.018543561986437,410.86775461832684,443.08180236816406,0.5095950223485629,0.02361341905853128,0.49712520605723065,0.5228157692829768
