dataset,method,source_results,trials,qualified_pairs,qualification_rate,trigger_only_asr_n,trigger_only_asr_mean,trigger_only_asr_std,trigger_only_asr_ci95_low,trigger_only_asr_ci95_high,bit_only_asr_n,bit_only_asr_mean,bit_only_asr_std,bit_only_asr_ci95_low,bit_only_asr_ci95_high,trigger_plus_bit_asr_n,trigger_plus_bit_asr_mean,trigger_plus_bit_asr_std,trigger_plus_bit_asr_ci95_low,trigger_plus_bit_asr_ci95_high,bit_marginal_gain_n,bit_marginal_gain_mean,bit_marginal_gain_std,bit_marginal_gain_ci95_low,bit_marginal_gain_ci95_high,bad_n,bad_mean,bad_std,bad_ci95_low,bad_ci95_high,mask_l1_n,mask_l1_mean,mask_l1_std,mask_l1_ci95_low,mask_l1_ci95_high,ssim_n,ssim_mean,ssim_std,ssim_ci95_low,ssim_ci95_high
CIFAR10,causal,runs/causaloneflip-cifar10-causal-main/results.csv,1689,281,0.16637063351095321,1689,0.00046779159265837773,0.0017979068699292388,0.0003857904085257539,0.000556483126110123,1689,0.10252522202486679,0.0037313902804721223,0.10235210183540554,0.10270325636471286,1689,0.4865255180580225,0.34767064868727776,0.4701005328596799,0.5039320899940795,1689,0.4860577264653641,0.348209228773964,0.46963333333333307,0.5034806394316161,1689,-4.920071047958959e-05,0.0005327994457423738,-7.365304914152013e-05,-2.285375962109378e-05,1689,680.9017274719924,76.2984516767581,677.0082465398234,684.8971697466835,1689,0.18917502135517966,0.07650116224423768,0.18551267370776783,0.19298079505699317
CIFAR10,oneflip,runs/causaloneflip-cifar10-oneflip-baseline/results.csv,1689,0,0.0,1689,0.47191681468324453,0.4791720318088378,0.44860467732385984,0.49453996447602105,1689,0.10252522202486679,0.0037313902804721223,0.10233996447602137,0.10270923623445832,1689,0.5288786856127886,0.48193635054753553,0.5048229721728834,0.5504557726465369,1689,0.056961870929544106,0.1635979732846598,0.0489724097098876,0.0649477797513322,1689,-4.920071047958959e-05,0.0005327994457423738,-7.33570159858073e-05,-2.332741267023582e-05,1689,479.71150975427804,134.4885218310537,473.8073793753426,486.0229010663843,1689,0.27815527660221373,0.10600077793136643,0.27320756651588735,0.2827159501348956
CIFAR10,tuap,runs/causaloneflip-cifar10-tuap-baseline/results.csv,30,0,0.0,30,0.98545,0.003984084717282355,0.9840466666666667,0.9868233333333334,0,nan,nan,nan,nan,30,0.98545,0.003984084717282355,0.9840466666666667,0.9868233333333334,0,nan,nan,nan,nan,30,0.0,0.0,0.0,0.0,30,129.11269887288412,25.89012861441095,119.98913853963217,137.68020375569662,30,0.7707558820724487,0.020273016403364128,0.7635349156220754,0.777718251768748
