method,beta,mask_weight,trials,qualified,qualification_rate,target_class,trigger_only_asr_mean,trigger_only_asr_std,trigger_only_asr_ci95_low,trigger_only_asr_ci95_high,bit_only_asr_mean,bit_only_asr_std,bit_only_asr_ci95_low,bit_only_asr_ci95_high,trigger_plus_bit_asr_mean,trigger_plus_bit_asr_std,trigger_plus_bit_asr_ci95_low,trigger_plus_bit_asr_ci95_high,bit_marginal_gain_mean,bit_marginal_gain_std,bit_marginal_gain_ci95_low,bit_marginal_gain_ci95_high,bad_mean,bad_std,bad_ci95_low,bad_ci95_high,mask_l1_mean,mask_l1_std,mask_l1_ci95_low,mask_l1_ci95_high,ssim_mean,ssim_std,ssim_ci95_low,ssim_ci95_high
causal,0.5,0.001,59,0,0.0,6,0.5781135593220339,0.04733330626462075,0.5653237288135592,0.5894033898305083,0.10865254237288136,0.000978449852855472,0.10838983050847456,0.10890508474576271,0.7058542372881356,0.057785666168128996,0.6914271186440675,0.721850847457627,0.1277406779661017,0.10062715428174834,0.1026983050847457,0.155293220338983,6.271186440675581e-05,0.00033316574785902125,-1.6949152542395477e-05,0.00015084745762709075,473.5446741136454,15.24541558415006,469.40131856627386,477.6999118610964,0.631651544530513,0.012053002591387302,0.6283189071622948,0.6347441855479096
causal,0.5,0.002,59,0,0.0,6,0.5903254237288136,0.0429149423106248,0.5780338983050848,0.6013661016949151,0.10865254237288136,0.000978449852855472,0.10838983050847456,0.10890508474576271,0.6891,0.038508364519037094,0.6797016949152541,0.699322033898305,0.09877457627118644,0.07853372127291901,0.07910338983050848,0.11990338983050844,6.271186440675581e-05,0.00033316574785902125,-1.6949152542395477e-05,0.00015084745762709075,371.2923449500132,11.029385063429887,368.34670399811307,374.30860047421214,0.6952014152850134,0.007678503936591376,0.6930792419142644,0.6972179434000437
causal,1.0,0.001,59,0,0.0,6,0.472528813559322,0.03945777774317958,0.46223050847457625,0.48232203389830514,0.10865254237288136,0.000978449852855472,0.10838983050847456,0.10890508474576271,0.6304796610169492,0.08192110961091231,0.6090440677966104,0.6522237288135595,0.15795084745762714,0.1121681394509605,0.1298067796610169,0.18770847457627124,6.271186440675581e-05,0.00033316574785902125,-1.6949152542395477e-05,0.00015084745762709075,545.8433196504237,8.45904419908321,543.5872347556939,548.0445598020392,0.5837968854984995,0.006955846387361791,0.5819684858758571,0.5854788917218223
causal,1.0,0.002,59,0,0.0,6,0.47316610169491524,0.03737279395020732,0.46311186440677954,0.4827983050847455,0.10865254237288136,0.000978449852855472,0.10838983050847456,0.10890508474576271,0.5988593220338984,0.06244427893687484,0.5828525423728812,0.6154525423728813,0.12569322033898306,0.09339767194988059,0.10222372881355933,0.15105932203389832,6.271186440675581e-05,0.00033316574785902125,-1.6949152542395477e-05,0.00015084745762709075,452.2473330740201,7.117832723004324,450.1636192192466,454.06282327942927,0.6494248279248254,0.005426651153943778,0.648008053798999,0.6508945872710924
causal,2.0,0.001,59,0,0.0,6,0.42256101694915255,0.02564469439615379,0.4158796610169492,0.42855254237288126,0.10865254237288136,0.000978449852855472,0.10838983050847456,0.10890508474576271,0.5743152542372881,0.09341164701352331,0.5511118644067795,0.5987881355932204,0.15175423728813558,0.10914422334854244,0.12494745762711865,0.18026101694915256,6.271186440675581e-05,0.00033316574785902125,-1.6949152542395477e-05,0.00015084745762709075,561.6867055084746,5.966849639070809,560.1436653783766,563.0375852423199,0.578907475135286,0.005143049101285603,0.5777344474162086,0.580222095599417
causal,2.0,0.002,59,0,0.0,6,0.41215762711864407,0.026680893353379764,0.40516949152542375,0.4193237288135593,0.10865254237288136,0.000978449852855472,0.10838983050847456,0.10890508474576271,0.5417355932203389,0.08350064580116125,0.5208610169491525,0.5635203389830507,0.12957796610169492,0.09730333847587427,0.1049033898305085,0.15443898305084744,6.271186440675581e-05,0.00033316574785902125,-1.6949152542395477e-05,0.00015084745762709075,494.39546022576803,4.61010247290673,493.2314949682203,495.4258836649232,0.6279367916042522,0.0037915810834701527,0.6269823831849181,0.6289316270100866
