method,beta,mask_weight,trials,qualified,qualification_rate,trigger_only_asr_mean,trigger_only_asr_std,trigger_only_asr_ci95_low,trigger_only_asr_ci95_high,bit_only_asr_mean,bit_only_asr_std,bit_only_asr_ci95_low,bit_only_asr_ci95_high,trigger_plus_bit_asr_mean,trigger_plus_bit_asr_std,trigger_plus_bit_asr_ci95_low,trigger_plus_bit_asr_ci95_high,bit_marginal_gain_mean,bit_marginal_gain_std,bit_marginal_gain_ci95_low,bit_marginal_gain_ci95_high,bad_mean,bad_std,bad_ci95_low,bad_ci95_high,mask_l1_mean,mask_l1_std,mask_l1_ci95_low,mask_l1_ci95_high,ssim_mean,ssim_std,ssim_ci95_low,ssim_ci95_high
causal,0.5,0.001,59,0,0.0,0.5781135593220339,0.04733330626462075,0.5651627118644064,0.5902677966101693,0.10865254237288136,0.000978449852855472,0.10840677966101694,0.10890677966101694,0.7058542372881356,0.057785666168128996,0.6918169491525427,0.7206627118644067,0.1277406779661017,0.10062715428174834,0.1030915254237288,0.1546423728813559,6.271186440675581e-05,0.00033316574785902125,-1.1864406779686055e-05,0.0001457627118643832,473.5446741136454,15.24541558415006,469.67346812102755,477.74330733994304,0.631651544530513,0.012053002591387302,0.6282588210477666,0.6347442272073134
causal,0.5,0.002,59,0,0.0,0.5903254237288136,0.0429149423106248,0.5786033898305081,0.6007745762711862,0.10865254237288136,0.000978449852855472,0.10840677966101694,0.10890677966101694,0.6891,0.038508364519037094,0.6800949152542373,0.698664406779661,0.09877457627118644,0.07853372127291901,0.0800661016949152,0.11892203389830507,6.271186440675581e-05,0.00033316574785902125,-1.1864406779686055e-05,0.0001457627118643832,371.2923449500132,11.029385063429887,368.30836047156384,374.16203954664326,0.6952014152850134,0.007678503936591376,0.6931782914711254,0.6973409758018235
causal,1.0,0.001,59,0,0.0,0.472528813559322,0.03945777774317958,0.46223220338983045,0.4823745762711866,0.10865254237288136,0.000978449852855472,0.10840677966101694,0.10890677966101694,0.6304796610169492,0.08192110961091231,0.6101033898305088,0.6507915254237288,0.15795084745762714,0.1121681394509605,0.13108983050847456,0.1873474576271186,6.271186440675581e-05,0.00033316574785902125,-1.1864406779686055e-05,0.0001457627118643832,545.8433196504237,8.45904419908321,543.7120650986494,547.9060968948623,0.5837968854984995,0.006955846387361791,0.5820768187377412,0.5855945162175065
causal,1.0,0.002,59,0,0.0,0.47316610169491524,0.03737279395020732,0.4629101694915255,0.48227288135593205,0.10865254237288136,0.000978449852855472,0.10840677966101694,0.10890677966101694,0.5988593220338984,0.06244427893687484,0.583793220338983,0.6145203389830507,0.12569322033898306,0.09339767194988059,0.1032305084745763,0.1495745762711865,6.271186440675581e-05,0.00033316574785902125,-1.1864406779686055e-05,0.0001457627118643832,452.2473330740201,7.117832723004324,450.3823862884004,454.08837321653203,0.6494248279248254,0.005426651153943778,0.6480081365407523,0.650749624784114
causal,2.0,0.001,59,0,0.0,0.42256101694915255,0.02564469439615379,0.4156491525423729,0.42872711864406776,0.10865254237288136,0.000978449852855472,0.10840677966101694,0.10890677966101694,0.5743152542372881,0.09341164701352331,0.551849152542373,0.5985525423728814,0.15175423728813558,0.10914422334854244,0.12484237288135594,0.17997457627118651,6.271186440675581e-05,0.00033316574785902125,-1.1864406779686055e-05,0.0001457627118643832,561.6867055084746,5.966849639070809,560.1877327611891,563.3483793614274,0.578907475135286,0.005143049101285603,0.5775936719393326,0.5801836440797578
causal,2.0,0.002,59,0,0.0,0.41215762711864407,0.026680893353379764,0.4048389830508474,0.41869322033898304,0.10865254237288136,0.000978449852855472,0.10840677966101694,0.10890677966101694,0.5417355932203389,0.08350064580116125,0.5213322033898306,0.5628593220338985,0.12957796610169492,0.09730333847587427,0.10658983050847455,0.15510000000000007,6.271186440675581e-05,0.00033316574785902125,-1.1864406779686055e-05,0.0001457627118643832,494.39546022576803,4.61010247290673,493.1590079614672,495.5361421229476,0.6279367916042522,0.0037915810834701527,0.6270027488837809,0.6289649168855052
