trial_key,method,feature,target_class,beta,mask_weight,seed,original_weight,flipped_weight,calibration_clean_accuracy,calibration_flipped_accuracy,calibration_bad,original_bits,flipped_bits,bit_hamming_distance,clean_model_accuracy,backdoor_clean_accuracy,bad,trigger_only_asr,bit_only_asr,trigger_plus_bit_asr,bit_marginal_gain,mask_l1,ssim,loss_version,clean_margin,attack_margin,validation_trigger_only_asr,validation_combined_asr,validation_bit_only_asr,validation_bad,validation_clean_target_margin,validation_flipped_target_margin,validation_counterfactual_gain,qualifies,validation_qualifies
causal_target_6_feature_120_beta_2_lambda_0.001_seed_20260904,causal,120,6,2.0,0.001,20260904,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0,0.1089,0.9972,0.9972,598.9818725585938,0.23589495429992677,causal-margin-v2,2.0,0.5,0.0,1.0,0.1328125,0.0,-3.860067367553711,1.4064974784851074,5.266565322875977,True,True
causal_target_6_feature_120_beta_2_lambda_0.001_seed_20260905,causal,120,6,2.0,0.001,20260905,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0,0.1089,0.9812,0.9812,620.4780883789062,0.22551682527065278,causal-margin-v2,2.0,0.5,0.0,0.98046875,0.1328125,0.0,-3.6193466186523438,1.183623194694519,4.802969932556152,True,True
causal_target_6_feature_120_beta_2_lambda_0.001_seed_20260906,causal,120,6,2.0,0.001,20260906,0.12271922081708908,1.9635075330734253,0.8463541865348816,0.8463541865348816,0.0,00111101111110110101010000110111,00111111111110110101010000110111,1,0.8642,0.864,0.00019999999999997797,0.0,0.1089,0.9972,0.9972,616.375,0.22219313876628877,causal-margin-v2,2.0,0.5,0.0,0.99609375,0.1328125,0.0,-3.77099609375,1.5228891372680664,5.293885231018066,True,True
causal_target_6_feature_33_beta_2_lambda_0.001_seed_20260904,causal,33,6,2.0,0.001,20260904,0.12096419185400009,1.9354270696640015,0.8463541865348816,0.8463541865348816,0.0,00111101111101111011110000010011,00111111111101111011110000010011,1,0.8642,0.8631,0.0010999999999999899,0.0,0.1119,0.9946,0.9946,695.1371459960938,0.183044393825531,causal-margin-v2,2.0,0.5,0.0,0.9921875,0.14453125,-0.00390625,-4.130061626434326,1.7687054872512817,5.898767471313477,False,True
causal_target_6_feature_33_beta_2_lambda_0.001_seed_20260905,causal,33,6,2.0,0.001,20260905,0.12096419185400009,1.9354270696640015,0.8463541865348816,0.8463541865348816,0.0,00111101111101111011110000010011,00111111111101111011110000010011,1,0.8642,0.8631,0.0010999999999999899,0.0001,0.1119,0.9967,0.9966,655.8924560546875,0.22216194424629213,causal-margin-v2,2.0,0.5,0.0,1.0,0.14453125,-0.00390625,-3.8372788429260254,1.5346646308898926,5.371943473815918,False,True
causal_target_6_feature_33_beta_2_lambda_0.001_seed_20260906,causal,33,6,2.0,0.001,20260906,0.12096419185400009,1.9354270696640015,0.8463541865348816,0.8463541865348816,0.0,00111101111101111011110000010011,00111111111101111011110000010011,1,0.8642,0.8631,0.0010999999999999899,0.0,0.1119,0.998,0.998,659.214599609375,0.2029407410621643,causal-margin-v2,2.0,0.5,0.0,1.0,0.14453125,-0.00390625,-4.122819900512695,1.820601463317871,5.943421363830566,False,True
causal_target_6_feature_40_beta_2_lambda_0.001_seed_20260904,causal,40,6,2.0,0.001,20260904,0.00754559226334095,1.9316716194152832,0.8463541865348816,0.8463541865348816,0.0,00111011111101110100000100000100,00111111111101110100000100000100,1,0.8642,0.8641,9.999999999998899e-05,0.0,0.1092,0.2039,0.2039,791.854248046875,0.10443427248001098,causal-margin-v2,2.0,0.5,0.0,0.21875,0.140625,-0.00390625,-2.6760525703430176,-0.24687376618385315,2.4291787147521973,False,False
causal_target_6_feature_40_beta_2_lambda_0.001_seed_20260905,causal,40,6,2.0,0.001,20260905,0.00754559226334095,1.9316716194152832,0.8463541865348816,0.8463541865348816,0.0,00111011111101110100000100000100,00111111111101110100000100000100,1,0.8642,0.8641,9.999999999998899e-05,0.0,0.1092,0.1993,0.1993,768.6698608398438,0.1209605451464653,causal-margin-v2,2.0,0.5,0.0,0.203125,0.140625,-0.00390625,-2.7482290267944336,-0.2376207858324051,2.510608196258545,False,False
causal_target_6_feature_40_beta_2_lambda_0.001_seed_20260906,causal,40,6,2.0,0.001,20260906,0.00754559226334095,1.9316716194152832,0.8463541865348816,0.8463541865348816,0.0,00111011111101110100000100000100,00111111111101110100000100000100,1,0.8642,0.8641,9.999999999998899e-05,0.0,0.1092,0.1152,0.1152,767.7833862304688,0.12371298708915711,causal-margin-v2,2.0,0.5,0.0,0.109375,0.140625,-0.00390625,-2.7463364601135254,-0.3439810276031494,2.402355670928955,False,False
causal_target_6_feature_482_beta_2_lambda_0.001_seed_20260904,causal,482,6,2.0,0.001,20260904,0.11922784149646759,1.9076454639434814,0.8463541865348816,0.8463541865348816,0.0,00111101111101000010110110111010,00111111111101000010110110111010,1,0.8642,0.8635,0.0006999999999999229,0.0001,0.1101,0.9274,0.9273,666.9775390625,0.17800342106819153,causal-margin-v2,2.0,0.5,0.0,0.94140625,0.14453125,-0.00390625,-3.0958614349365234,0.7370846271514893,3.8329460620880127,True,True
