trial_key,method,feature,target_class,beta,mask_weight,seed,original_weight,flipped_weight,calibration_clean_accuracy,calibration_flipped_accuracy,calibration_bad,original_bits,flipped_bits,bit_hamming_distance,clean_model_accuracy,backdoor_clean_accuracy,bad,trigger_only_asr,bit_only_asr,trigger_plus_bit_asr,bit_marginal_gain,mask_l1,ssim,loss_version,clean_margin,attack_margin,validation_trigger_only_asr,validation_combined_asr,validation_bit_only_asr,validation_bad,validation_clean_target_margin,validation_flipped_target_margin,validation_counterfactual_gain,qualifies,validation_qualifies
causal_target_6_feature_342_beta_2_lambda_0.001_seed_20260905,causal,342,6,2.0,0.001,20260905,0.006813381798565388,1.7442257404327393,0.8463541865348816,0.8463541865348816,0.0,00111011110111110100001011001010,00111111110111110100001011001010,1,0.8642,0.8646,-0.00040000000000006697,0.0438,0.1075,0.4768,0.433,444.0598449707031,0.4425121973991394,causal-margin-v2,0.5,0.5,0.06640625,0.53515625,0.13671875,0.0,-1.2001887559890747,0.06166660785675049,1.2618553638458252,False,False
causal_target_6_feature_342_beta_2_lambda_0.001_seed_20260906,causal,342,6,2.0,0.001,20260906,0.006813381798565388,1.7442257404327393,0.8463541865348816,0.8463541865348816,0.0,00111011110111110100001011001010,00111111110111110100001011001010,1,0.8642,0.8646,-0.00040000000000006697,0.0137,0.1075,0.489,0.4753,464.4681701660156,0.37005521583557127,causal-margin-v2,0.5,0.5,0.00390625,0.53125,0.13671875,0.0,-1.3366934061050415,-0.03827209025621414,1.2984213829040527,False,False
causal_target_6_feature_508_beta_2_lambda_0.001_seed_20260904,causal,508,6,2.0,0.001,20260904,0.10690490156412125,1.71047842502594,0.8463541865348816,0.8463541865348816,0.0,00111101110110101111000011110101,00111111110110101111000011110101,1,0.8642,0.8642,0.0,0.0016,0.1089,0.9737,0.9721,503.77374267578125,0.2979124063014984,causal-margin-v2,0.5,0.5,0.01171875,0.9765625,0.1328125,0.0,-2.227860927581787,1.2554662227630615,3.4833269119262695,True,True
causal_target_6_feature_508_beta_2_lambda_0.001_seed_20260905,causal,508,6,2.0,0.001,20260905,0.10690490156412125,1.71047842502594,0.8463541865348816,0.8463541865348816,0.0,00111101110110101111000011110101,00111111110110101111000011110101,1,0.8642,0.8642,0.0,0.0012,0.1089,0.9717,0.9705,518.2890625,0.30190208740234376,causal-margin-v2,0.5,0.5,0.0,0.97265625,0.1328125,0.0,-2.063412666320801,1.199601173400879,3.2630138397216797,True,True
causal_target_6_feature_508_beta_2_lambda_0.001_seed_20260906,causal,508,6,2.0,0.001,20260906,0.10690490156412125,1.71047842502594,0.8463541865348816,0.8463541865348816,0.0,00111101110110101111000011110101,00111111110110101111000011110101,1,0.8642,0.8642,0.0,0.0014,0.1089,0.9757,0.9743,544.854736328125,0.28734132199287415,causal-margin-v2,0.5,0.5,0.0,0.97265625,0.1328125,0.0,-2.0319876670837402,1.0675214529037476,3.0995092391967773,True,True
causal_target_6_feature_58_beta_2_lambda_0.001_seed_20260904,causal,58,6,2.0,0.001,20260904,0.10671299695968628,1.7074079513549805,0.8463541865348816,0.8463541865348816,0.0,00111101110110101000110001011000,00111111110110101000110001011000,1,0.8642,0.864,0.00019999999999997797,0.0034,0.1097,0.9895,0.9861000000000001,525.642822265625,0.2871086558818817,causal-margin-v2,0.5,0.5,0.0078125,0.9921875,0.140625,-0.00390625,-2.0814526081085205,1.2791168689727783,3.360569477081299,True,True
causal_target_6_feature_58_beta_2_lambda_0.001_seed_20260905,causal,58,6,2.0,0.001,20260905,0.10671299695968628,1.7074079513549805,0.8463541865348816,0.8463541865348816,0.0,00111101110110101000110001011000,00111111110110101000110001011000,1,0.8642,0.864,0.00019999999999997797,0.0027,0.1097,0.9773,0.9745999999999999,490.04864501953125,0.34185271549224855,causal-margin-v2,0.5,0.5,0.0,0.97265625,0.140625,-0.00390625,-1.9782668352127075,0.995815634727478,2.9740824699401855,True,True
causal_target_6_feature_58_beta_2_lambda_0.001_seed_20260906,causal,58,6,2.0,0.001,20260906,0.10671299695968628,1.7074079513549805,0.8463541865348816,0.8463541865348816,0.0,00111101110110101000110001011000,00111111110110101000110001011000,1,0.8642,0.864,0.00019999999999997797,0.0044,0.1097,0.9662,0.9618,538.7464599609375,0.3132219584465027,causal-margin-v2,0.5,0.5,0.00390625,0.96875,0.140625,-0.00390625,-1.953442096710205,1.0495599508285522,3.003002166748047,True,True
causal_target_6_feature_99_beta_2_lambda_0.001_seed_20260904,causal,99,6,2.0,0.001,20260904,0.1031259074807167,1.6500145196914673,0.8463541865348816,0.8463541865348816,0.0,00111101110100110011001110101101,00111111110100110011001110101101,1,0.8642,0.863,0.0011999999999999789,0.0006,0.1108,0.9871,0.9864999999999999,515.58935546875,0.2876561676979065,causal-margin-v2,0.5,0.5,0.0,0.98828125,0.140625,-0.00390625,-2.108400344848633,1.2707018852233887,3.3791022300720215,False,True
causal_target_6_feature_99_beta_2_lambda_0.001_seed_20260905,causal,99,6,2.0,0.001,20260905,0.1031259074807167,1.6500145196914673,0.8463541865348816,0.8463541865348816,0.0,00111101110100110011001110101101,00111111110100110011001110101101,1,0.8642,0.863,0.0011999999999999789,0.0016,0.1108,0.9329,0.9312999999999999,479.5414733886719,0.35355278372764587,causal-margin-v2,0.5,0.5,0.0,0.91796875,0.140625,-0.00390625,-1.815056562423706,0.7521394491195679,2.5671958923339844,False,True
causal_target_6_feature_99_beta_2_lambda_0.001_seed_20260906,causal,99,6,2.0,0.001,20260906,0.1031259074807167,1.6500145196914673,0.8463541865348816,0.8463541865348816,0.0,00111101110100110011001110101101,00111111110100110011001110101101,1,0.8642,0.863,0.0011999999999999789,0.0001,0.1108,0.9884,0.9883,541.564697265625,0.2717003098487854,causal-margin-v2,0.5,0.5,0.0,0.98828125,0.140625,-0.00390625,-2.1700057983398438,1.2247331142425537,3.3947389125823975,False,True
