method,beta,mask_weight,trials,qualified,qualification_rate,trigger_only_asr_mean,trigger_only_asr_std,trigger_only_asr_ci95_low,trigger_only_asr_ci95_high,bit_only_asr_mean,bit_only_asr_std,bit_only_asr_ci95_low,bit_only_asr_ci95_high,trigger_plus_bit_asr_mean,trigger_plus_bit_asr_std,trigger_plus_bit_asr_ci95_low,trigger_plus_bit_asr_ci95_high,bit_marginal_gain_mean,bit_marginal_gain_std,bit_marginal_gain_ci95_low,bit_marginal_gain_ci95_high,bad_mean,bad_std,bad_ci95_low,bad_ci95_high,mask_l1_mean,mask_l1_std,mask_l1_ci95_low,mask_l1_ci95_high,ssim_mean,ssim_std,ssim_ci95_low,ssim_ci95_high
causal,2.0,0.001,12,0,0.0,0.0010416666666666667,0.002104306551005832,0.00025,0.0023,0.10935,0.0017069377152187971,0.10835833333333333,0.11023333333333335,0.49638333333333334,0.349723687900588,0.2931833333333333,0.6674749999999999,0.4953416666666667,0.350932268674412,0.29224999999999995,0.667075,0.0003083333333332901,0.0005517877281796912,-5.551115123125783e-17,0.0006083333333332941,600.281992594401,43.93603794685339,573.7547912597656,623.7013295491537,0.2983504377683004,0.060667328150051825,0.2666155709385872,0.33354462460676837
causal,2.0,0.002,12,0,0.0,0.00295,0.0037279046027591327,0.0012333333333333335,0.005108333333333334,0.10935,0.0017069377152187971,0.10835833333333333,0.11023333333333335,0.40805833333333336,0.2669168323257038,0.2532666666666667,0.5401833333333333,0.40510833333333335,0.2699435882426796,0.2497583333333334,0.5389166666666668,0.0003083333333332901,0.0005517877281796912,-5.551115123125783e-17,0.0006083333333332941,499.72830454508465,45.03396876285845,475.0225321451823,522.1388956705729,0.3815090121984482,0.06189061710514486,0.3491329275051753,0.4159011954347292
causal,2.0,0.005,12,0,0.0,0.017733333333333334,0.011969607978188556,0.01194166666666667,0.024158333333333337,0.10935,0.0017069377152187971,0.10835833333333333,0.11023333333333335,0.31906666666666667,0.17363861810372053,0.21645000000000006,0.404475,0.30133333333333334,0.18285146149182666,0.19592500000000002,0.3911166666666667,0.0003083333333332901,0.0005517877281796912,-5.551115123125783e-17,0.0006083333333332941,325.9142951965332,52.127380857900086,295.8856010437012,352.7784907023112,0.5318670339385668,0.0738146595791465,0.49404030246337255,0.5725375075419744
causal,4.0,0.001,12,0,0.0,0.00025833333333333334,0.0002968266507678524,0.00011666666666666667,0.0004166666666666667,0.10935,0.0017069377152187971,0.10835833333333333,0.11023333333333335,0.13573333333333334,0.16068134096195902,0.05815,0.2222833333333333,0.135475,0.16076613237302756,0.05784166666666667,0.22205,0.0003083333333332901,0.0005517877281796912,-5.551115123125783e-17,0.0006083333333332941,581.3546651204427,46.2078226364909,555.0662282307943,605.6023661295573,0.3359832381169001,0.06757222472122236,0.30099097041289014,0.3745313931703567
causal,4.0,0.002,12,0,0.0,0.0005916666666666667,0.0005468227788919839,0.00030833333333333337,0.0008666666666666666,0.10935,0.0017069377152187971,0.10835833333333333,0.11023333333333335,0.1218,0.13249377343860352,0.05843333333333333,0.19253333333333333,0.12120833333333333,0.1325989678989953,0.05775,0.19210833333333333,0.0003083333333332901,0.0005517877281796912,-5.551115123125783e-17,0.0006083333333332941,525.8652750651041,34.26820566348315,506.2095591227214,543.7989857991537,0.3860007169564565,0.05811260483794611,0.3561813964684804,0.4188824276089667
causal,4.0,0.005,12,0,0.0,0.004666666666666667,0.002421244358263792,0.003408333333333333,0.006058333333333332,0.10935,0.0017069377152187971,0.10835833333333333,0.11023333333333335,0.10889166666666666,0.09037022295518418,0.06127500000000002,0.15639166666666668,0.104225,0.09113841745588759,0.055466666666666685,0.1517166666666667,0.0003083333333332901,0.0005517877281796912,-5.551115123125783e-17,0.0006083333333332941,371.1690724690755,40.041324234212176,348.9814046223958,392.0724589029948,0.522602201628685,0.05651536961698793,0.4932019662578901,0.5527196947097779
causal,8.0,0.001,12,0,0.0,0.000325,0.00042238500317730375,0.00010833333333333334,0.0005666666666666666,0.10935,0.0017069377152187971,0.10835833333333333,0.11023333333333335,0.010341666666666667,0.02225756085359569,0.0023250000000000002,0.02349166666666667,0.010016666666666667,0.022274642465586216,0.002041666666666667,0.023175000000000005,0.0003083333333332901,0.0005517877281796912,-5.551115123125783e-17,0.0006083333333332941,528.6611557006836,31.249519409266732,512.6525751749674,545.8675816853842,0.4140278643568357,0.046912768157745297,0.38938455546299616,0.4387557210008303
causal,8.0,0.002,12,0,0.0,0.0003333333333333333,0.00037739136506316945,0.00015000000000000001,0.00055,0.10935,0.0017069377152187971,0.10835833333333333,0.11023333333333335,0.012924999999999999,0.01895934046608929,0.004299999999999999,0.023608333333333332,0.012591666666666666,0.018905336347821013,0.004033333333333334,0.023191666666666666,0.0003083333333332901,0.0005517877281796912,-5.551115123125783e-17,0.0006083333333332941,510.0835215250651,17.793051228565886,499.8191884358724,518.7208658854166,0.4213522021214167,0.0394448985277413,0.400712010316054,0.4429170920570691
causal,8.0,0.005,12,0,0.0,0.0012,0.0011939240115914184,0.0006166666666666667,0.0018999999999999996,0.10935,0.0017069377152187971,0.10835833333333333,0.11023333333333335,0.016966666666666665,0.020874357184804227,0.007341666666666667,0.028308333333333335,0.015766666666666665,0.020661397177667663,0.006058333333333333,0.026766666666666664,0.0003083333333332901,0.0005517877281796912,-5.551115123125783e-17,0.0006083333333332941,426.81209055582684,35.39217673889502,408.91668701171875,446.6918487548828,0.5010137417316437,0.025037081735477685,0.4876590811332067,0.5154524903178215
causal,16.0,0.001,12,0,0.0,0.00015833333333333335,0.00014433756729740645,9.16666666666667e-05,0.00024999999999999995,0.10935,0.0017069377152187971,0.10835833333333333,0.11023333333333335,0.0011,0.0022061896399160085,0.0002249999999999999,0.0024166666666666664,0.0009416666666666666,0.002176092550393661,0.0001,0.0022,0.0003083333333332901,0.0005517877281796912,-5.551115123125783e-17,0.0006083333333332941,507.27197011311847,18.865162247514043,497.9198277791341,517.8186747233073,0.4506572213411331,0.03175262570325129,0.43268604185978576,0.46651050165891644
causal,16.0,0.002,12,0,0.0,0.00019166666666666667,0.00017298624923456322,0.00010833333333333334,0.0002916666666666667,0.10935,0.0017069377152187971,0.10835833333333333,0.11023333333333335,0.00125,0.0024755164750374452,0.00028333333333333325,0.002725,0.0010583333333333332,0.0023569851055699927,0.00015833333333333332,0.00245,0.0003083333333332901,0.0005517877281796912,-5.551115123125783e-17,0.0006083333333332941,498.5703709920247,8.611176150374535,494.17941029866535,503.3036066691081,0.4571511056065559,0.02087658655279356,0.44528779908021293,0.46819928747812906
