beta,mask_weight,clean_margin,attack_margin,trials,qualified_trials,qualification_rate,trigger_only_asr_mean,bit_only_asr_mean,combined_asr_mean,bit_marginal_gain_mean,mask_l1_mean
2.0,0.001,1.0,0.5,12,2,0.16666666666666666,0.006184895833333333,0.138671875,0.6497395833333334,2.299561525384585,558.5381724039713
2.0,0.001,2.0,0.5,12,1,0.08333333333333333,0.0009765625,0.138671875,0.4986979166666667,2.6609645883242288,600.281992594401
2.0,0.001,0.5,0.5,12,0,0.0,0.025390625,0.138671875,0.673828125,1.9116881986459096,520.5763422648112
2.0,0.002,0.5,0.5,12,0,0.0,0.0546875,0.138671875,0.5940755208333334,1.6639414330323536,418.69621022542316
2.0,0.002,1.0,0.5,12,0,0.0,0.019856770833333332,0.138671875,0.5406901041666666,1.9799270033836365,433.4720179239909
2.0,0.005,0.5,0.5,12,0,0.0,0.11751302083333333,0.138671875,0.4876302083333333,1.2775196880102158,283.2557856241862
2.0,0.005,1.0,0.5,12,0,0.0,0.0693359375,0.138671875,0.4244791666666667,1.5121209422747295,272.8972028096517
2.0,0.002,2.0,0.5,12,0,0.0,0.00390625,0.138671875,0.412109375,2.354239429036776,499.72830454508465
4.0,0.001,0.5,0.5,12,0,0.0,0.004231770833333333,0.138671875,0.3772786458333333,1.840391178925832,542.5638376871744
2.0,0.005,2.0,0.5,12,0,0.0,0.021484375,0.138671875,0.326171875,1.9806018024682999,325.9142951965332
4.0,0.002,0.5,0.5,12,0,0.0,0.013020833333333334,0.138671875,0.3219401041666667,1.660511093835036,460.09302520751953
4.0,0.005,0.5,0.5,12,0,0.0,0.0439453125,0.138671875,0.2652994791666667,1.2988375251491864,329.1400858561198
4.0,0.001,1.0,0.5,12,0,0.0,0.0029296875,0.138671875,0.255859375,1.9259518484274547,556.7503916422526
4.0,0.002,1.0,0.5,12,0,0.0,0.005208333333333333,0.138671875,0.22265625,1.8018333166837692,485.3761927286784
4.0,0.005,1.0,0.5,12,0,0.0,0.024088541666666668,0.138671875,0.20052083333333334,1.4931567460298538,336.0923105875651
4.0,0.001,2.0,0.5,12,0,0.0,0.0003255208333333333,0.138671875,0.14290364583333334,2.2917597641547522,581.3546651204427
4.0,0.002,2.0,0.5,12,0,0.0,0.0009765625,0.138671875,0.13053385416666666,2.134142885605494,525.8652750651041
4.0,0.005,2.0,0.5,12,0,0.0,0.007486979166666667,0.138671875,0.11067708333333333,1.8128495886921883,371.1690724690755
8.0,0.005,0.5,0.5,12,0,0.0,0.014322916666666666,0.138671875,0.10514322916666667,1.2133409604430199,370.13018290201825
8.0,0.002,0.5,0.5,12,0,0.0,0.0048828125,0.138671875,0.09602864583333333,1.3797449866930644,487.35416920979816
8.0,0.001,0.5,0.5,12,0,0.0,0.0006510416666666666,0.138671875,0.09309895833333333,1.4749560579657555,533.9288991292318
8.0,0.005,1.0,0.5,12,0,0.0,0.005859375,0.138671875,0.0673828125,1.3749548867344856,380.6613540649414
8.0,0.002,1.0,0.5,12,0,0.0,0.0016276041666666667,0.138671875,0.059244791666666664,1.4994121591250102,498.07020568847656
8.0,0.001,1.0,0.5,12,0,0.0,0.0009765625,0.138671875,0.0556640625,1.5560750216245651,539.6645050048828
16.0,0.005,0.5,0.5,12,0,0.0,0.0032552083333333335,0.138671875,0.0234375,1.0179996341466904,425.6913833618164
8.0,0.005,2.0,0.5,12,0,0.0,0.0013020833333333333,0.138671875,0.0224609375,1.3033763654530048,426.81209055582684
16.0,0.002,0.5,0.5,12,0,0.0,0.0009765625,0.138671875,0.019856770833333332,1.0704436413943768,496.264653523763
16.0,0.001,0.5,0.5,12,0,0.0,0.0003255208333333333,0.138671875,0.016927083333333332,1.0776472290356953,517.0203094482422
16.0,0.005,1.0,0.5,12,0,0.0,0.0013020833333333333,0.138671875,0.016927083333333332,1.0221924806634586,439.83019002278644
8.0,0.002,2.0,0.5,12,0,0.0,0.0003255208333333333,0.138671875,0.0166015625,1.576098947475354,510.0835215250651
8.0,0.001,2.0,0.5,12,0,0.0,0.0003255208333333333,0.138671875,0.015950520833333332,1.3451348145802815,528.6611557006836
16.0,0.002,1.0,0.5,12,0,0.0,0.0003255208333333333,0.138671875,0.0126953125,1.0172481139500935,498.53835042317706
16.0,0.001,1.0,0.5,12,0,0.0,0.0,0.138671875,0.009765625,1.0181268528103828,516.4037526448568
16.0,0.005,2.0,0.5,12,0,0.0,0.0,0.138671875,0.0032552083333333335,0.7046102645496527,468.33507029215497
16.0,0.001,2.0,0.5,12,0,0.0,0.0,0.138671875,0.0029296875,0.6591726485639811,507.27197011311847
16.0,0.002,2.0,0.5,12,0,0.0,0.0,0.138671875,0.0026041666666666665,0.7365298413981994,498.5703709920247
